Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Suhu,Kelembaban
2022-08-01,56,50,41,43,50,18,31,28,69
2022-08-02,70,63,15,48,68,21,11,28,70
2022-08-03,89,81,27,128,34,5,50,27,77
2022-08-04,52,48,24,57,25,48,22,26,83
2022-08-05,38,33,10,81,8,11,28,27,76
2022-08-06,42,38,36,787,32,35,195,26,78
2022-08-07,26,23,22,555,3,7,23,27,76
2022-08-08,24,21,31,344,63,33,8,28,70
2022-08-09,41,36,21,133,25,52,41,27,72
2022-08-10,45,42,44,155,47,179,46,27,77
2022-08-11,37,34,38,158,63,37,35,27,81
2022-08-12,28,26,36,199,19,47,51,26,83
2022-08-13,25,22,16,190,7,10,40,26,81
2022-08-14,21,19,28,218,14,26,60,27,77
2022-08-15,21,18,30,119,49,17,15,26,79
2022-08-16,45,40,36,115,21,42,22,26,85
2022-08-17,34,31,41,68,21,324,20,27,78
2022-08-18,22,19,33,21,10,21,18,28,68
2022-08-19,29,25,25,56,25,21,21,28,69
2022-08-20,27,23,6,32,19,25,16,29,69
2022-08-21,25,22,15,31,31,130,14,27,77
2022-08-22,49,45,3,266,56,237,38,26,85
2022-08-23,62,57,38,502,40,4,61,28,77
2022-08-24,50,46,36,367,7,2,32,27,77
2022-08-25,40,36,20,541,3,52,46,27,72
2022-08-26,57,51,40,462,15,41,28,27,76
2022-08-27,45,40,24,356,5,92,21,26,82
2022-08-28,28,25,18,85,3,97,15,25,84
2022-08-29,30,27,47,586,19,37,8,26,81
2022-08-30,41,29,41,775,21,31,14,27,78
2022-08-31,69,63,16,695,21,30,10,28,73
2022-09-01,66,62,19,594,6,10,14,28,74
2022-09-02,42,38,27,830,20,23,18,27,76
2022-09-03,29,25,55,1618,77,90,66,27,78
2022-09-04,17,15,23,860,128,121,32,26,78
2022-09-05,48,44,30,1269,35,66,16,28,77
2022-09-06,36,32,28,1294,46,42,25,28,79
2022-09-07,43,39,40,1354,41,36,20,26,85
2022-09-08,37,34,42,1401,26,41,17,24,90
2022-09-09,43,37,39,1310,48,52,51,25,86
2022-09-10,28,25,39,1330,52,57,42,25,87
2022-09-11,19,17,38,1255,54,52,35,26,81
2022-09-12,19,17,39,1314,46,40,30,26,83
2022-09-13,24,22,34,1226,43,45,26,26,79
2022-09-14,42,37,33,1286,19,32,18,28,70
2022-09-15,38,35,32,1275,19,31,17,27,73
2022-09-16,28,26,33,1232,19,31,19,26,82
2022-09-17,28,25,33,1269,19,31,18,27,80
2022-09-18,37,33,33,1273,19,31,17,28,75
2022-09-19,27,24,32,1258,19,30,17,28,73
2022-09-20,26,23,34,1224,19,30,19,27,76
2022-09-21,25,22,26,1364,16,28,9,27,78
2022-09-22,27,24,22,1280,16,31,12,27,80
2022-09-23,31,28,22,1289,14,30,7,28,76
2022-09-24,32,29,22,1140,12,32,19,27,78
2022-09-25,34,30,22,991,10,34,31,27,80
2022-09-26,35,32,22,841,8,37,44,26,81
2022-09-27,36,33,22,692,6,39,56,26,83
2022-09-28,38,34,22,543,5,41,68,25,85
2022-09-29,33,30,23,528,4,35,17,28,71
2022-09-30,27,24,23,474,4,33,17,29,69
2022-10-01,25,22,24,538,4,29,17,27,79
2022-10-02,19,17,29,685,4,26,13,26,84
2022-10-03,21,19,57,856,4,16,7,27,80
2022-10-04,19,17,54,806,4,15,9,25,86
2022-10-05,19,17,54,807,4,15,10,26,82
2022-10-06,23,21,54,678,17,15,11,26,81
2022-10-07,16,14,41,527,23,15,14,25,89
2022-10-08,12,10,37,506,23,15,14,26,80
2022-10-09,15,13,46,583,24,16,12,26,80
2022-10-10,33,29,52,654,23,15,12,27,80
2022-10-11,18,17,48,549,23,15,14,26,82
2022-10-12,22,19,39,555,23,16,15,25,86
2022-10-13,19,17,38,512,23,16,15,26,86
2022-10-14,13,11,45,521,23,16,14,26,81
2022-10-15,11,10,43,472,23,15,14,27,80
2022-10-16,32,29,35,578,24,16,14,27,79
2022-10-17,32,29,37,590,24,16,14,27,79
2022-10-18,25,23,31,548,24,15,15,25,88
2022-10-19,26,24,26,587,24,15,16,25,89
2022-10-20,29,26,26,564,24,15,16,25,89
2022-10-21,18,15,25,479,24,16,16,26,83
2022-10-22,18,16,34,550,24,16,14,27,78
2022-10-23,12,11,34,510,25,17,15,27,80
2022-10-24,10,8,28,455,24,17,16,27,79
2022-10-25,8,7,26,497,24,17,16,26,80
2022-10-26,9,8,25,524,25,17,15,26,80
2022-10-27,13,10,27,495,25,16,15,27,71
2022-10-28,11,9,30,505,25,17,14,28,64
2022-10-29,9,8,31,506,26,17,14,28,66
2022-10-30,12,11,34,590,26,18,13,29,63
2022-10-31,21,18,35,639,26,18,13,28,70
2022-11-01,25,22,36,664,26,17,13,28,74
2022-11-02,22,20,34,669,26,18,13,27,76
2022-11-03,24,22,29,746,26,18,14,26,85
2022-11-04,20,18,19,553,25,18,16,27,80
2022-11-05,16,15,16,539,24,17,17,26,84
2022-11-06,21,19,16,564,24,15,17,27,78
2022-11-07,33,30,15,560,23,15,17,26,83
2022-11-08,28,25,16,750,22,16,17,26,83
2022-11-09,18,17,16,604,21,15,18,26,83
2022-11-10,12,11,18,538,21,14,20,26,83
2022-11-11,7,6,19,435,21,13,21,26,80
2022-11-12,14,12,17,537,20,13,20,26,85
2022-11-13,19,17,16,624,20,13,19,26,85
2022-11-14,30,27,22,780,101,65,19,27,80
2022-11-15,22,19,23,694,118,64,19,26,80
